Alice,Bob,Eve1-Alice,Eve1-Bob,Alice_Filtered,Bob_Filtered,Eve1-Alice_Filtered,Eve1-Bob_Filtered
-76,-76,-32,-83,-76.0445608977275,-76.01583871211433,-31.836202062666537,-81.86993931143417
-76,-76,-33,-83,-76.04012654272141,-76.01400793948561,-31.927795152152324,-81.93800295766135
-77,-76,-32,-83,-76.13632520932718,-76.01237585614155,-31.933482848004477,-82.00218012641939
-75,-76,-34,-83,-76.02297021500597,-76.01092295910944,-32.098215001363016,-82.06271527667597
-76,-76,-32,-82,-76.0206975511442,-76.00963127370102,-32.09056743845831,-82.05889381009422
-77,-76,-32,-82,-76.1184483399739,-76.0084843236551,-32.08342565530475,-82.05527388955053
-77,-77,-34,-83,-76.20614057613837,-76.1273646571355,-32.23632206784314,-82.11382384416783
-77,-77,-33,-83,-76.285067762222,-76.23091627535243,-32.29615850798773,-82.16895873143348
-77,-77,-31,-83,-76.35625917501498,-76.32175173150763,-32.19382956773708,-82.22088445019818
-77,-77,-32,-82,-76.42055848884486,-76.40178876803172,-32.17854902988687,-82.207019741805
-77,-77,-31,-83,-76.4786750555978,-76.47250280041416,-32.08459766967915,-82.25715914284615
-77,-77,-33,-81,-76.53121810568557,-76.53507443616525,-32.157575231222246,-82.17731902499925
-77,-77,-31,-85,-76.57871999110927,-76.59047906917615,-32.06489960779944,-82.35659510038754
-77,-76,-33,-86,-76.6216522536988,-76.51973486168866,-32.139780407061714,-82.58172656362252
-76,-77,-32,-85,-76.55792628071131,-76.57743826154204,-32.12854555469307,-82.72439304032416
-76,-76,-31,-87,-76.50055285249208,-76.50773135278439,-32.0369534072928,-82.97367728751186
-76,-76,-31,-87,-76.44887309109733,-76.44626738565634,-31.952808912686475,-83.1952621688359
-76,-76,-31,-87,-76.40231567158045,-76.39202759697639,-31.87538320071975,-83.39583010720516
-76,-77,-31,-86,-76.36037829353111,-76.46627476784009,-31.804063619098436,-83.52875209485254
-76,-77,-33,-89,-76.32261461621076,-76.53157223107067,-31.901840930067465,-83.80684935160878
-77,-78,-33,-84,-76.39398201580599,-76.71181112320018,-31.9914993423563,-83.81595920768822
-78,-78,-31,-82,-76.56342528110153,-76.8658651444036,-31.910513641083465,-83.72852973801523
-78,-76,-32,-82,-76.71164243939403,-76.76380476971221,-31.917837960951637,-83.6445237331427
-75,-77,-33,-83,-76.53742191809677,-76.79167167470487,-32.00718889016939,-83.61290505760317
-75,-77,-31,-82,-76.3841810990349,-76.81652031400452,-31.924023855920993,-83.53251228291272
-77,-76,-32,-81,-76.44480614011496,-76.71818015559259,-31.93030524230703,-83.40522009666766
-76,-76,-32,-81,-76.40061272931759,-76.63173688849042,-31.936114590674315,-83.28470690863291
-76,-77,-32,-82,-76.36041625176604,-76.67614077378977,-31.941480425621645,-83.22042073067824
-76,-77,-32,-82,-76.32392337911833,-76.7154703560936,-31.946430795291427,-83.15873817981176
-78,-78,-32,-82,-76.49506098682728,-76.87253510010504,-31.950992987712336,-83.09960630473853
-77,-76,-32,-83,-76.54562745642511,-76.76753375591056,-31.955193324774243,-83.09447585549373
-76,-76,-32,-82,-76.49054075801071,-76.67527461347984,-31.959057018998166,-83.03740932064042
-76,-77,-32,-93,-76.44067836099367,-76.71436208530625,-31.962608080516198,-83.56111433201717
-77,-76,-32,-93,-76.4979110013691,-76.62768927585704,-31.96586926372402,-83.95594316178295
-77,-77,-32,-95,-76.54956004247113,-76.67292551027712,-31.968862044881195,-84.35204000984575
-77,-77,-32,-93,-76.59614854450885,-76.71292272493724,-31.971606623506,-84.61308735219451
-78,-76,-32,-96,-76.74214553417296,-76.62519551668848,-31.974121941752287,-84.93226879369891
-76,-76,-32,-97,-76.6658879918946,-76.54824964468337,-31.976425717084975,-85.23009748303899
-76,-76,-33,-92,-76.59725801051606,-76.48064104536137,-32.06798651295244,-85.37843182290962
-76,-76,-32,-88,-76.53546668024622,-76.42118312751391,-32.0619201513455,-85.43538217827557
-76,-76,-32,-90,-76.47982860464599,-76.36887693100584,-32.05636652529853,-85.53730526371601
-76,-77,-32,-91,-76.42973992950019,-76.44759813873985,-32.05128573739639,-85.6608766938281
-76,-76,-32,-93,-76.38466303516655,-76.39170630136839,-32.04664050674414,-85.82755968956816
-78,-78,-33,-90,-76.55493604749589,-76.59331378527106,-32.133399026574786,-85.92074217627612
-77,-77,-32,-84,-76.60101498796274,-76.64290136994828,-32.12127871510543,-85.87722446153998
-76,-76,-32,-90,-76.53839311628337,-76.5639298698975,-32.11020550902108,-85.97296200801034
-77,-76,-33,-90,-76.5866940740934,-76.49443468462646,-32.19183421844425,-86.06763785090865
-77,-77,-32,-90,-76.63016805242906,-76.55699036149777,-32.1742474237094,-86.16121279149485
-77,-77,-32,-89,-76.66927173635933,-76.612047108947,-32.15819650589368,-86.22957009551627
-76,-76,-32,-89,-76.59814434684381,-76.53562431179894,-32.143556279251236,-86.29741489199962
-75,-75,-30,-88,-76.4279713806165,-76.34349566098727,-31.944281047374204,-86.33978808053843
-76,-77,-30,-86,-76.38316599648519,-76.42378551010877,-31.76819354329233,-86.33117008302001
-76,-76,-31,-85,-76.3428049180227,-76.37175168429455,-31.699832507717918,-86.29672325767224
-76,-76,-33,-85,-76.30648359726001,-76.32581312819916,-31.8160769007324,-86.26256626090859
-76,-76,-31,-86,-76.27382883230356,-76.28530523024904,-31.74331558676731,-86.25553200347741
-76,-76,-31,-88,-76.24449708731086,-76.24962779015453,-31.67678008484903,-86.30308245095053
-76,-76,-33,-86,-76.21817285519694,-76.21823973034554,-31.795730135681122,-86.29470348357508
-75,-76,-31,-82,-76.08636922107513,-76.19065436447288,-31.724455080683704,-86.17409696964984
-76,-76,-33,-84,-76.0770974973585,-76.16643499458202,-31.839130241242778,-86.11299392913523
-76,-75,-34,-83,-76.06877075932584,-76.01754775477404,-32.032864517543686,-86.02453174005761
-76,-75,-31,-83,-76.06130163235653,-75.8891427650518,-31.94216274367288,-85.93800595294375
-75,-75,-31,-83,-75.94543151797015,-75.77759116404282,-31.859197028148962,-85.8533911898356
-76,-76,-31,-82,-75.95136037173236,-75.80543635225347,-31.783276320401264,-85.74167026918097
-76,-76,-32,-83,-75.95667474291251,-75.8299623807368,-31.802501499043164,-85.66204685061162
-76,-76,-34,-84,-75.9614331546087,-75.85152933662931,-31.99891004604217,-85.61344434882571
-76,-76,-32,-84,-75.96568965685542,-75.87046720775977,-31.99900545928797,-85.56579066749804
-76,-76,-32,-83,-75.96949388316467,-75.88707573718312,-31.999093284488183,-85.48927891627825
-76,-76,-33,-83,-75.97289120243634,-75.90162532107158,-32.0881778652791,-85.41458482782737
-76,-75,-32,-83,-75.97592293129762,-75.7849224904295,-32.08031850110772,-85.34168340368497
-76,-75,-32,-83,-75.97862658162273,-75.6838301087481,-32.07311001896829,-85.27054980156223
-76,-75,-33,-83,-75.98103612528323,-75.59591519909014,-32.15682446659611,-85.20115923640849
-75,-75,-32,-83,-75.87001244149457,-75.51927761381334,-32.14264632820655,-85.13348690056313
-75,-75,-32,-83,-75.77200032501861,-75.45238094155805,-32.129676465566675,-85.06750790061362
-76,-75,-33,-84,-75.79763533087541,-75.3939495133283,-32.20922922995601,-85.03430262409944
-75,-75,-32,-84,-75.70754990458471,-75.3429032516104,-32.19008915717042,-85.00187389831832
-75,-75,-33,-87,-75.62770026624898,-75.29831487597875,-32.26454013362881,-85.06500186301005
-75,-75,-32,-83,-75.55681394518925,-75.25938065369961,-32.24019466393796,-84.9994181170722
-75,-75,-32,-84,-75.49382667186953,-75.22539954406028,-32.217990946471566,-84.96752386852681
-75,-75,-32,-84,-75.43783140311811,-75.19575766656628,-32.19775335748402,-84.93643417596216
-75,-75,-32,-85,-75.3880438248968,-75.169916238337,-32.17931876532025,-84.93849036307634
-75,-75,-32,-85,-75.34377835408374,-75.14740184820386,-32.162535972502404,-84.9404940617226
-75,-75,-32,-84,-75.30443095429986,-75.12779836885286,-32.14726511504516,-84.90964975376507
-75,-75,-32,-84,-75.26946644818257,-75.11074007040277,-32.13337703743615,-84.87964151842621
-75,-75,-32,-84,-75.23840884640387,-75.09590565737606,-32.12075265802122,-84.85045798470189
-75,-75,-33,-83,-75.21083373807112,-75.08301304695539,-32.20427255720042,-84.78872747078113
-75,-75,-32,-83,-75.18636212033952,-75.07181476446377,-32.18488305124335,-84.72885068801288
-75,-75,-32,-83,-75.16465525901846,-75.06209386723536,-32.167270248668636,-84.67077719319725
-76,-75,-32,-83,-75.26229056596793,-75.05366032963538,-32.15127870848621,-84.61445830649377
-75,-75,-32,-83,-75.23170082370659,-75.04634783551201,-32.13676567279354,-84.5598469526264
-76,-75,-32,-82,-75.32162343651967,-75.04001093316467,-32.1236001558174,-84.47295225145596
-76,-75,-32,-83,-75.40094703148911,-75.03452251397813,-32.11166208090987,-84.4229196146572
-76,-75,-32,-83,-75.47102838494827,-75.02977158035854,-32.10084146526281,-84.37440876628104
-75,-75,-32,-83,-75.41584424306576,-75.02566127217713,-32.09103765192383,-84.32738061544053
-75,-75,-33,-82,-75.36699874293377,-75.0221071239475,-32.17969036028551,-84.24745586517452
-75,-74,-32,-83,-75.32376611423439,-74.88009405687187,-32.16218925596482,-84.20457052456288
-74,-75,-32,-83,-75.16734691015643,-74.89661053321487,-32.14633916629146,-84.16300581747116
-75,-76,-32,-84,-75.14777445348359,-75.04926287440604,-32.131990559946836,-84.15736054566254
-76,-77,-32,-80,-75.24795379225024,-75.31661843820424,-32.11900667079977,-84.0127291017142
-77,-77,-32,-82,-75.45368944311325,-75.53921976055867,-32.10726251457474,-83.94322104309784
-77,-77,-33,-82,-75.63177947415195,-75.72856488876532,-32.195639862465114,-83.87598411317296
-78,-77,-32,-81,-75.90140199743345,-75.8916706508033,-32.17629665856692,-83.77626779991358
-78,-77,-32,-82,-76.13228565123191,-76.03323178773942,-32.158808528962346,-83.71474299855707
-78,-77,-32,-81,-76.33353393794567,-76.15663062804735,-32.143004304092024,-83.62047918542754
-77,-77,-32,-82,-76.40448418466873,-76.2644535528689,-32.12872776913118,-83.56423402226741
-77,-77,-32,-84,-76.46850457915512,-76.35877244794864,-32.115836467972784,-83.57940119434528
-78,-77,-32,-88,-76.63457472778717,-76.4413056144527,-32.10420058862743,-83.73392905206552
-77,-76,-32,-89,-76.67394468803495,-76.38426945751635,-32.09370192576631,-83.9164403652553
-76,-77,-32,-90,-76.60068979312327,-76.46427910432249,-32.08423291656511,-84.12448020291936
-76,-76,-32,-90,-76.53504823410604,-76.40378067687621,-32.0756957462064,-84.32172901836807
-76,-76,-31,-88,-76.4762803102081,-76.35096012679816,-31.966354767627433,-84.44327664876216
-76,-76,-31,-87,-76.42371210146653,-76.30487117576337,-31.868470458426657,-84.52758037857667
-76,-76,-31,-85,-76.37672942217156,-76.26468263338694,-31.780649053088716,-84.54319132709402
-76,-77,-31,-84,-76.33477290228568,-76.36197092321657,-31.701736166326192,-84.52513586460364
-76,-76,-31,-85,-76.2973337438054,-76.3141201964444,-31.630756226036297,-84.54100881626299
-76,-76,-31,-84,-76.26394989142288,-76.27246103941337,-31.566871048306385,-84.5228265823804
-76,-76,-32,-89,-76.23420247502736,-76.23620910726343,-31.61082046858106,-84.6740755528369
-76,-77,-33,-88,-76.20771245232578,-76.33816344113683,-31.75219208870784,-84.7856556825012
-76,-76,-32,-88,-76.1841374204613,-76.29310174894472,-31.77724418755552,-84.89335716573297
-76,-76,-33,-88,-76.16316858725845,-76.2539261718677,-31.90137627794166,-84.99736993035485
-76,-77,-33,-89,-76.14452790299266,-76.35395239046167,-32.012483083665664,-85.1313359117904
-76,-76,-33,-88,-76.12796535713969,-76.30656838447554,-32.1121743100548,-85.22696093963573
-76,-77,-33,-87,-76.11325644444791,-76.39966515593908,-32.20177126247866,-85.2861026101222
-76,-76,-31,-89,-76.10019980278055,-76.34604083934431,-32.08040567076487,-85.41042567381903
-76,-76,-31,-86,-76.08861502262668,-76.29949176231511,-31.971596017407443,-85.43010805271635
-76,-77,-32,-89,-76.07834062561858,-76.3939842881963,-31.97445376751454,-85.54989411256136
-76,-76,-32,-87,-76.06923220714597,-76.34088220096369,-31.97703717266716,-85.59844485441441
-76,-76,-32,-88,-76.06116073636342,-76.29482132261865,-31.9793700843791,-85.67916858554717
-76,-75,-33,-86,-76.05401100557155,-76.11938698601006,-32.083499671984,-85.68997113454256
-75,-75,-33,-88,-75.93046734058728,-75.96946671014979,-32.1768677164378,-85.76812895955796
-75,-75,-32,-87,-75.82192427317516,-75.840412042453,-32.15885284747,-85.80987924649065
-75,-75,-32,-87,-75.7262695063488,-75.72882055424311,-32.14260742174782,-85.85036798822544
-75,-75,-32,-89,-75.64180411297815,-75.63207222900476,-32.12796855144345,-85.9579196156018
-75,-75,-32,-86,-75.567125192588,-75.5480687398088,-32.114786131826236,-85.95935481700458
-75,-75,-32,-87,-75.50105005133857,-75.47507961706336,-32.102922370160535,-85.99500437649176
-75,-75,-33,-87,-75.44256568448587,-75.41164745342193,-32.195933150135865,-86.02955878012743
-75,-75,-34,-85,-75.39079407782104,-75.35652689020638,-32.38278825449731,-85.99403313222511
-75,-75,-32,-82,-75.3449676146009,-75.30864349043026,-32.34365857735404,-85.85574316993468
-75,-75,-31,-82,-75.30441106575363,-75.26706462558037,-32.20576472469236,-85.7229072702116
-75,-75,-31,-83,-75.26852795365645,-75.23097782340574,-32.08260421557131,-85.62948765451468
-75,-76,-32,-82,-75.2367898842857,-75.33520171272455,-32.07418734263858,-85.50494674358143
-76,-75,-33,-84,-75.32723782151733,-75.28984951103921,-32.168987632483834,-85.45346109731918
-76,-75,-31,-82,-75.4069063117746,-75.25052433335617,-32.04925817821903,-85.33495127184426
-75,-75,-33,-83,-75.35870366517754,-75.21643917312657,-32.14641578603784,-85.25500685854398
-75,-75,-31,-83,-75.31611254000357,-75.18690918400681,-32.02923276113825,-85.17769752671533
-75,-75,-32,-82,-75.27848670825136,-75.16133772928865,-32.02624992665828,-85.06859437837402
-75,-75,-31,-82,-75.24525596270166,-75.13920480074377,-31.92103592338447,-84.96336986252341
-75,-75,-31,-82,-75.2159159539711,-75.12005719704692,-31.826683438010186,-84.86183809100567
-76,-76,-31,-82,-75.30995568057286,-75.2414103849983,-31.741971344078593,-84.76382918095882
-76,-75,-31,-83,-75.39262387999467,-75.20824713930757,-31.66585820340799,-84.70343027130399
-76,-75,-32,-83,-75.46539433972525,-75.17955666304184,-31.7001907806046,-84.64494917141737
-75,-75,-31,-83,-75.40958390300081,-75.15474918188124,-31.62798989899866,-84.58832914952536
-75,-75,-32,-82,-75.36037175313328,-75.1333105108264,-31.66640636428884,-84.49900503556613
-76,-75,-31,-82,-75.43738984147791,-75.11479265410705,-31.597377943574198,-84.41272700422046
-76,-75,-31,-82,-75.50516908096783,-75.09880558256084,-31.535414113945258,-84.3293729728505
-76,-76,-33,-82,-75.56485404650856,-75.22463344824365,-31.687596288947574,-84.24882902688105
-75,-76,-33,-82,-75.49661033277314,-75.33242797319862,-31.823051585572642,-84.1709885158018
-75,-76,-31,-82,-75.43654349764827,-75.42507540012026,-31.738438178960312,-84.09575127122031
-77,-76,-31,-81,-75.62595301441553,-75.50485895700946,-31.662423754090163,-83.98832017412855
-76,-76,-31,-82,-75.67071651789412,-75.57363863361152,-31.59411249748403,-83.91940196843943
-76,-76,-33,-82,-75.71026814925334,-75.63296212245737,-31.73939715369157,-83.85275539450544
-76,-76,-31,-82,-75.74518903707914,-75.68413649438482,-31.6633783793689,-83.78830430470965
-76,-77,-31,-82,-75.77600051209845,-75.86802140963832,-31.59504302606187,-83.72597604198117
-76,-77,-33,-82,-75.80316924793864,-76.02447141682242,-31.740090411386994,-83.66570113973462
-76,-76,-31,-82,-75.82711215728953,-76.02110864864554,-31.66405901898956,-83.60741305846395
-77,-76,-31,-85,-75.9701810610419,-76.01819259897059,-31.595701801694947,-83.65624512924751
-77,-76,-31,-84,-76.09508722629809,-76.01566805419668,-31.53424233913361,-83.66832855471247
-77,-76,-33,-83,-76.20452349352497,-76.01348532164268,-31.68583360321595,-83.64475852584907
-77,-76,-31,-83,-76.30062512085594,-76.01160014711661,-31.61531210346774,-83.62195089268047
-77,-76,-31,-83,-76.38513665739049,-76.00997342148334,-31.551898521629727,-83.59988503474405
-77,-76,-31,-89,-76.45951689363207,-76.0085707782017,-31.49488185871568,-83.79202579865795
-77,-76,-32,-87,-76.52500718905772,-76.00736214625515,-31.547197490603036,-83.904840419769
-77,-75,-31,-89,-76.58267750413592,-75.86494289842031,-31.490380646023773,-84.08371439289334
-77,-74,-31,-89,-76.63345852813745,-75.60279306749204,-31.439354925316945,-84.254701318593
-75,-75,-31,-89,-76.43422847765973,-75.52009053022445,-31.393536105157686,-84.41842561248592
-75,-75,-31,-89,-76.26151187271894,-75.44848429716517,-31.352400858382808,-84.57542784871208
-76,-76,-31,-89,-76.23025365692357,-75.52468238721946,-31.315479200482137,-84.72617923197768
-76,-76,-33,-89,-76.20259507643782,-75.59052284862528,-31.49238358117618,-84.87109314616441
-77,-76,-31,-89,-76.29879825699214,-75.64739917183918,-31.441168847013287,-85.01053445583551
-77,-75,-31,-89,-76.38342797911561,-75.55722421854549,-31.395155523559264,-85.14482706123479
-76,-74,-31,-89,-76.33709684070658,-75.3402156235123,-31.353830139237246,-85.27426008195599
-75,-74,-31,-89,-76.17503899117266,-75.15620230688582,-31.316728718016893,-85.39909295371471
-74,-74,-33,-83,-75.91319975562119,-74.99872402201541,-31.493686825524474,-85.31883239344786
-73,-73,-33,-81,-75.57030620646356,-74.72750606124296,-31.650588049930338,-85.17403021560344
-74,-73,-31,-82,-75.39268165464787,-74.49837461284639,-31.58320909842221,-85.06800652341883
-73,-73,-33,-84,-75.1227747509213,-74.3021179173304,-31.730328030335695,-85.03232229786944
-74,-74,-34,-84,-74.99860986546999,-74.26279286875881,-31.964992111492496,-84.99768495534136
-73,-75,-31,-85,-74.77655480526829,-74.35959070708621,-31.86688826666473,-84.99776294774986
-74,-81,-31,-82,-74.6911581802858,-75.23486916255543,-31.778568963604506,-84.89632809691189
-75,-77,-31,-80,-74.72536240752605,-75.41463402141694,-31.699052206848673,-84.73062069966886
-81,-76,-32,-80,-75.42597791273512,-75.47523994397166,-31.729870082931328,-84.57155032499809
-76,-76,-31,-79,-75.48002584979731,-75.53098644063598,-31.654803279128423,-84.38522261370936
-76,-75,-31,-79,-75.53003359564708,-75.47340011178224,-31.587318496906967,-84.20673075495795
-76,-75,-31,-79,-75.57603033993166,-75.42121018681175,-31.52665340256313,-84.03547075156204
-76,-76,-31,-79,-75.61813287725488,-75.48587834672402,-31.472127267969935,-83.87091859055472
-76,-76,-31,-80,-75.6565172752941,-75.54390967861707,-31.423129680208447,-83.74511604099669
-76,-75,-31,-82,-75.69139683159474,-75.48198847974491,-31.379111700981372,-83.68845751230309
-76,-76,-33,-82,-75.72300540974813,-75.5413634924282,-31.548134471150224,-83.63342338363013
-76,-75,-34,-91,-75.75158518892502,-75.47895721481416,-31.801878790037115,-83.87444914395363
-76,-76,-31,-86,-75.77737792145595,-75.53929737278796,-31.720530888346936,-83.94280258125433
-75,-76,-31,-84,-75.69622231265235,-75.59286048267323,-31.647213562021587,-83.94464835459806
-76,-76,-33,-83,-75.72801526709792,-75.64036851575194,-31.785284578577524,-83.91400773221683
-76,-75,-31,-83,-75.75660086037112,-75.56539389749997,-31.705330407033127,-83.88422593368487
-76,-76,-31,-83,-75.78227894032167,-75.616365115284,-31.63334693412941,-83.85528836642152
-76,-75,-32,-84,-75.80532682877349,-75.54388709499084,-31.67085930307604,-83.86004421796002
-76,-75,-32,-84,-75.82599955053696,-75.47984268262894,-31.704653774092424,-83.86466375073205
-76,-75,-31,-86,-75.84453055010849,-75.42324375196633,-31.632066460589062,-83.93543877691596
-76,-75,-33,-83,-75.86113272295506,-75.37322648236815,-31.773186160517856,-83.90436648816892
-76,-74,-31,-82,-75.87599963472995,-75.21061891774201,-31.69373041051241,-83.84088414997935
-75,-75,-31,-83,-75.78199100473267,-75.18584311708288,-31.62234289147671,-83.81278812353668
-75,-77,-32,-83,-75.69813459757647,-75.39995534087247,-31.66126987101656,-83.78553856987351
-74,-76,-31,-83,-75.51602343638893,-75.46986315184073,-31.59291956489946,-83.75911592975739
-75,-76,-32,-83,-75.46117730863699,-75.53179946807711,-31.635056401624826,-83.73350063629957
-77,-76,-31,-83,-75.62514306146127,-75.5866511764573,-31.569166874235503,-83.70867316192813
-77,-76,-31,-82,-75.77074850889065,-75.63520759034452,-31.510037566377864,-83.65066455833596
-76,-76,-31,-82,-75.79494175177024,-75.67817214163361,-31.4569700027456,-83.59451619809364
-76,-75,-31,-81,-75.81666802327757,-75.59809679590697,-31.409343379953203,-83.50608887807508
